date,sp500 open,sp500 high,sp500 low,sp500 close,nasdaq open,nasdaq high,nasdaq low,nasdaq close,nasdaq high-low,usd_chf,silver open,silver high,silver low,silver close,silver volume,oil high-low,gold open,gold high,gold low,gold close,standard__sp500 open,standard__sp500 high,standard__sp500 low,standard__sp500 close,standard__nasdaq open,standard__nasdaq high,standard__nasdaq low,standard__nasdaq close,standard__nasdaq high-low,standard__usd_chf,standard__silver open,standard__silver high,standard__silver low,standard__silver close,standard__silver volume,standard__oil high-low,standard__gold open,standard__gold high,standard__gold low,standard__gold close
2013-04-09,156.5,157.32,155.98,156.75,68.42,68.96,68.09,68.68,0.8699999999999903,0.9317,27.13,27.779,27.106,27.68,146391.0,0.5700000000000003,152.32,153.85,152.28,153.34,-0.8594620018648649,-0.859128261323151,-0.8603346194325533,-0.8584890354885628,-0.8851295092262355,-0.8847756952021261,-0.8833559417161201,-0.8846004618736539,-0.6867640952570909,-0.41907637552377286,0.030615327094323,0.013803050767173366,0.05243732438126947,0.030112703752516335,-0.6279631111505556,-0.6006239615525999,-0.3898611733114668,-0.4039997730803762,-0.3811895411141998,-0.3937690044933717
2013-04-11,158.7,159.71,158.54,159.19,69.84,70.15,69.77,69.99,0.3800000000000096,0.9294,27.29,27.55,27.27,27.34,85099.0,0.480000000000004,150.76,151.71,150.629,151.05,-0.8486475139498492,-0.8536267033447216,-0.8590059381112279,-0.8666607885618869,-0.8794834970285133,-0.8825016919088112,-0.8826957238735867,-0.8864006855553518,-0.6146659657604483,-0.537668782753201,0.0033561234625183395,-0.006744682401199588,-0.03423021453033377,-0.05010582194450214,-0.573767419417027,-0.4742462706354665,-0.434342583112056,-0.4347370646579046,-0.4884743489786194,-0.5017175902706531
2013-04-15,158.0,158.13,155.1,155.12,69.68,69.79,68.48,68.56,1.3100000000000025,0.9303,23.53,23.6372,22.54,22.6,1409893.0,0.5800000000000018,136.0,136.75,130.51,131.31,-0.8978493062960272,-0.9039618532070686,-0.9080841044176845,-0.9028146051893204,-0.9023130246106076,-0.9045107952119654,-0.9061334572835159,-0.9054666909115152,-0.5678021815876295,-0.22779829934727525,-0.26763243028894845,-0.269123429012726,-0.26310380012239765,-0.253860877214929,-0.39500998832425527,-0.05050930697213506,-0.6862907210665438,-0.6907967087480985,-0.690737354155958,-0.6897789629769858
2013-04-17,156.29,156.32,154.28,155.11,68.84,68.889,67.71,68.115,1.179000000000002,0.9306,23.14,23.45,22.83,22.97,617038.0,0.6700000000000017,133.81,134.95,132.32,132.87,-0.9074254940681021,-0.9011700178150297,-0.9084993173305987,-0.9069417532061508,-0.9053405963688065,-0.9081654433619357,-0.9063810389744659,-0.907021429545709,-0.7192082535305883,-0.16276375344726693,-0.3157369072862504,-0.3228636542223157,-0.3100098874903261,-0.3292662913701262,-0.5216098390991907,-0.5188501615473865,-0.7375631857985212,-0.747210904741584,-0.7447197102674774,-0.7434137949040626
2013-04-23,156.95,157.93,156.17,157.78,69.2,69.7,68.82,69.45,0.8800000000000097,0.9427,22.74,22.8,22.53,22.7,353243.0,0.4498999999999995,137.22,137.24,135.85,136.88,-0.8844756647522675,-0.881627170070758,-0.8781057321052803,-0.8839122672722375,-0.8942940507645672,-0.89370927956872,-0.8912785558265186,-0.8949926622180007,-0.7372327859047488,-0.040345784694307205,-0.3189438724194038,-0.31970246450410467,-0.31731801612520416,-0.32445317982830546,-0.5597917982808522,-0.6006239615525999,-0.8635372547757652,-0.8130837683267922,-0.8643008788689445,-0.8228476599099864
2013-04-24,157.83,158.3,157.54,157.88,69.26,69.67,69.12,69.42,0.5499999999999972,0.9484,22.89,23.02,22.63,22.92,212643.0,0.6800000000000033,138.09,138.55,137.45,138.3699,-0.8856314115523454,-0.8831052005724255,-0.8829222018950849,-0.8851504116772866,-0.894948660874448,-0.8946871009848455,-0.8936718455057016,-0.8947471771704963,-0.6760935720915916,0.03616544577629183,-0.31734038985282736,-0.34025019767247705,-0.3546761233527109,-0.36777118370469536,-0.6061884508631016,-0.36273654335563954,-0.8159998702560504,-0.829298627055459,-0.8506344596002051,-0.8595094437588744
2013-04-25,158.34,159.27,158.1,158.52,69.63,70.05,69.59,69.79,0.4599999999999937,0.9455,23.38,24.119,23.36,24.05,446057.0,0.9500000000000028,140.0,142.08,139.785,141.63,-0.8909148254955592,-0.88745717927178,-0.8852473942074044,-0.8845726109549303,-0.8965851861491502,-0.8931407787453913,-0.8930941548934849,-0.892365972209705,-0.632690498134609,0.003648172826286603,-0.3221508375525572,-0.3117994902085766,-0.3138029206967955,-0.31803569777254354,-0.6177203462919884,-0.24379283425716466,-0.8377312460364913,-0.8191643403500424,-0.8246682629896007,-0.8360866374109738
2013-04-26,158.33,158.6,157.73,158.24,69.62,69.77,69.27,69.57,0.5,0.9414,24.05,24.26,23.39,23.66,572812.0,0.4699999999999988,142.3,143.43,140.04,140.91,-0.8744867102658789,-0.8767004017318658,-0.8762787952884579,-0.8702101358563609,-0.8886480385668449,-0.8911916330654072,-0.8894629567595522,-0.8878735958403773,-0.7047886276312566,0.2886525063292682,-0.41835979154716113,-0.43982767379612847,-0.4462320973019613,-0.4463853388877732,-0.5235957427347764,-0.1395684091596185,-0.9266940656376715,-0.9404379712581944,-0.9544992460426225,-0.9260437922253745
2013-04-29,158.67,159.65,158.42,159.3,69.78,70.48,69.76,70.21,0.7199999999999989,0.937,23.99,24.21,23.8638,24.09,292605.0,0.5349999999999966,142.1353,142.66,141.485,142.3,-0.8630117956079614,-0.8659436241919517,-0.8614972155887128,-0.8625336405450567,-0.8846385516438248,-0.8881054857387657,-0.8851715407830864,-0.8873007973962006,-0.7552573182789095,0.3269081215645677,-0.41194586128085436,-0.42086053548686136,-0.3890096135836794,-0.41108918758108526,-0.5986323786884714,-0.4370763615421838,-0.892399238234163,-0.890442156844806,-0.8796756005462755,-0.877840335683318
2013-04-30,159.27,159.72,158.61,159.68,70.29,70.73,70.04,70.72,0.6899999999999977,0.9298,24.05,24.05,23.81,24.03,168930.0,0.5200000000000031,142.27,142.83,141.55,142.77,-0.8537658212073376,-0.8582250204610207,-0.8516151482613553,-0.852793571225337,-0.8843112465888844,-0.8859939112521161,-0.8829433055645367,-0.883700350032805,-0.7588622247537437,0.5028839516469451,-0.38949710534878007,-0.3924098280229609,-0.3742952606275499,-0.38541925935803933,-0.5625547946434063,-0.4073404342675704,-0.8329775075845198,-0.8279473888280698,-0.8414096265938064,-0.8401601689497388
